Mode,Seed,N (negatives),Data Selection,Test Set,Metric,Value
class_imbalanced,2,1017,random,Restricted Similarity,auPR,0.57005148609103
class_imbalanced,2,1017,random,Random (20%),auROC,0.8977979142333787
class_imbalanced,2,1017,random,Random (20%),auPR,0.264843656351667
class_imbalanced,2,1017,similar,Restricted Similarity,auROC,0.4927272727272728
class_imbalanced,2,1017,similar,Restricted Similarity,auPR,0.5155126790192651
class_imbalanced,2,1017,similar,Random (20%),auROC,0.8193742381016206
class_imbalanced,2,1017,similar,Random (20%),auPR,0.1139626782260049
class_imbalanced,2,1017,diverse,Restricted Similarity,auROC,0.6131818181818182
class_imbalanced,2,1017,diverse,Restricted Similarity,auPR,0.6211747818705994
class_imbalanced,2,1017,diverse,Random (20%),auROC,0.3878815342426118
class_imbalanced,2,1017,diverse,Random (20%),auPR,0.0469933899276645
class_imbalanced,2,2034,random,Restricted Similarity,auROC,0.6027272727272727
class_imbalanced,2,2034,random,Restricted Similarity,auPR,0.5914363931207913
class_imbalanced,2,2034,random,Random (20%),auROC,0.9060756143586862
class_imbalanced,2,2034,random,Random (20%),auPR,0.338961006515073
class_imbalanced,2,2034,similar,Restricted Similarity,auROC,0.4704545454545454
class_imbalanced,2,2034,similar,Restricted Similarity,auPR,0.5019139574051906
class_imbalanced,2,2034,similar,Random (20%),auROC,0.839122697285142
class_imbalanced,2,2034,similar,Random (20%),auPR,0.1393876956775454
class_imbalanced,2,2034,diverse,Restricted Similarity,auROC,0.6268181818181817
class_imbalanced,2,2034,diverse,Restricted Similarity,auPR,0.646157964163034
class_imbalanced,2,2034,diverse,Random (20%),auROC,0.4007500377625025
class_imbalanced,2,2034,diverse,Random (20%),auPR,0.0477888899621101
class_imbalanced,2,4068,random,Restricted Similarity,auROC,0.5718181818181818
class_imbalanced,2,4068,random,Restricted Similarity,auPR,0.5931017156767783
class_imbalanced,2,4068,random,Random (20%),auROC,0.9142769916794846
class_imbalanced,2,4068,random,Random (20%),auPR,0.3914683667984766
class_imbalanced,2,4068,similar,Restricted Similarity,auROC,0.4222727272727273
class_imbalanced,2,4068,similar,Restricted Similarity,auPR,0.487842041529588
class_imbalanced,2,4068,similar,Random (20%),auROC,0.8463861285031369
class_imbalanced,2,4068,similar,Random (20%),auPR,0.1507158070012067
class_imbalanced,2,4068,diverse,Restricted Similarity,auROC,0.7318181818181818
class_imbalanced,2,4068,diverse,Restricted Similarity,auPR,0.7447032015967473
class_imbalanced,2,4068,diverse,Random (20%),auROC,0.4493862795531473
class_imbalanced,2,4068,diverse,Random (20%),auPR,0.0334555250730733
class_imbalanced,2,8136,random,Restricted Similarity,auROC,0.6531818181818182
class_imbalanced,2,8136,random,Restricted Similarity,auPR,0.6077746513649384
class_imbalanced,2,8136,random,Random (20%),auROC,0.9128095727412172
class_imbalanced,2,8136,random,Random (20%),auPR,0.4318036112505993
class_imbalanced,2,8136,similar,Restricted Similarity,auROC,0.4336363636363636
class_imbalanced,2,8136,similar,Restricted Similarity,auPR,0.5092773154732809
class_imbalanced,2,8136,similar,Random (20%),auROC,0.8525462032197054
class_imbalanced,2,8136,similar,Random (20%),auPR,0.1416666995329266
class_imbalanced,2,8136,diverse,Restricted Similarity,auROC,0.705
class_imbalanced,2,8136,diverse,Restricted Similarity,auPR,0.6912930584880881
class_imbalanced,2,8136,diverse,Random (20%),auROC,0.8305979452943667
class_imbalanced,2,8136,diverse,Random (20%),auPR,0.400607526956993
class_imbalanced,2,16272,random,Restricted Similarity,auROC,0.695909090909091
class_imbalanced,2,16272,random,Restricted Similarity,auPR,0.6699915554914362
class_imbalanced,2,16272,random,Random (20%),auROC,0.9134036673240532
class_imbalanced,2,16272,random,Random (20%),auPR,0.487200349680428
class_imbalanced,2,16272,similar,Restricted Similarity,auROC,0.535
class_imbalanced,2,16272,similar,Restricted Similarity,auPR,0.5914387152456174
class_imbalanced,2,16272,similar,Random (20%),auROC,0.8711104622343062
class_imbalanced,2,16272,similar,Random (20%),auPR,0.1830533065287233
class_imbalanced,2,16272,diverse,Restricted Similarity,auROC,0.6609090909090909
class_imbalanced,2,16272,diverse,Restricted Similarity,auPR,0.6841381395105183
class_imbalanced,2,16272,diverse,Random (20%),auROC,0.9096194390725956
class_imbalanced,2,16272,diverse,Random (20%),auPR,0.5096294491524398
class_imbalanced,2,29950,random,Restricted Similarity,auROC,0.7040909090909092
class_imbalanced,2,29950,random,Restricted Similarity,auPR,0.6748425544504213
class_imbalanced,2,29950,random,Random (20%),auROC,0.9212125273645178
class_imbalanced,2,29950,random,Random (20%),auPR,0.519640845348464
