,Name,SMILES
181,BRD-K46092446,O=C(NC1CC1)C1=NNC(=O)c2ccccc21
182,BRD-K75882205,NC1=CC(=O)NC(=O)N1Cc1ccccc1
183,BRD-K75719781,CCN(CC)c1nc(nc(n1)C#N)OC
184,BRD-A37054063,CNC(=O)CN1C(=O)[C@H]2[C@H]3C[C@@H](C=C3)[C@@H]2C1=O
185,BRD-K97510113,O=C(C1CC1)N1CCN(CC1)c1ncccn1
186,BRD-K83960633,CS(=O)(=O)NCCc1ccccc1
187,BRD-K95391802,CCCC12CNCC(C)(CNC1)C2=O
188,BRD-A57133804,CCOCC(=O)N[C@H]1CCSC1=O
189,BRD-K79219702,CCNc1nc2nonc2nc1NCC
190,BRD-K48742362,CCc1c(nnc2cc(nn12)C)C(=O)OC
191,BRD-A42723963,NC(=NC(=N)N1N=CC[C@@H]1c1ccccc1)N
192,BRD-K99991405,CCSc1nnc2c(n1)NC(=O)NC2=O
193,BRD-K46908740,C/C=C/C(=O)c1cc(ccc1O)Cl
194,BRD-K45619323,OC(=O)CCc1nnc2ccc(nn12)Cl
195,BRD-K73545881,OC(=O)CCC1=Nc2ccccc2NC1=O
196,BRD-K15020650,NC(=S)CS(=O)(=O)c1ccccn1
197,BRD-K50514984,COC(=O)c1ccc(cc1)C(=O)NN
198,BRD-K48820966,S=C1NCN(CN1)Cc1ccncc1
199,BRD-K97934413,NC1=CC(=O)N=C2SC(=NN12)C1CC1
200,BRD-A12543328,C=CCON1C(=O)[C@H]2[C@H]3O[C@@H](C=C3)[C@@H]2C1=O
201,BRD-K87800675,CCN/1C(=O)CS\C1=N/N1CCOCC1
202,BRD-K65995843,Oc1ccccc1/N=C/c1ccncc1
203,BRD-K81921258,CN(C)/C=N/S(=O)(=O)c1c(noc1C)C
204,BRD-K81587840,CN1C(=O)/C(=C\NC(=O)C)C(=C(C#N)C1=O)C
205,BRD-K72177560,COC(=O)C1=C(C)NC(=C(C1)C(=O)OC)C
206,BRD-K94153315,COc1ccc2[n+](c3c([n+](c2c1)[O-])CCC3)[O-]
207,BRD-K34291222,Nc1ncnc2nc(ncc12)N1CCOCC1
208,BRD-K87267244,CN(C)c1nc2c([nH]1)C(=O)NC(=O)N2C
209,BRD-K12080982,COc1cc(nc(n1)SCC(=O)N)C
210,BRD-K23648827,CN(C)CCNC1=C(Cl)C(=O)NN=C1
211,BRD-K20643289,Oc1ccc(cc1)/C=N/c1ccccc1
212,BRD-A43076080,C[C@]12[C@H]3CC[C@@H](O3)[C@@]2(C)C(=O)OC1=O
213,BRD-K12638018,NNC(=O)c1cccc(c1)Cn1cccn1
214,BRD-K45471681,COC(=O)CCC1=C(C)NC(=S)NC1=O
215,BRD-A09994978,NNC(=O)[C@H]1[C@@H](C1c1ccccc1)C(=O)NN
216,BRD-K19990343,O=C(CN1C(=O)CSC1=O)N1CCCC1
217,BRD-K25073859,O=C1N=CNc2nn(nc21)-c1ccccc1
218,BRD-A46796005,C=CCN1C(=O)[C@H]2[C@H]3C[C@@H](C=C3)[C@@H]2C1=O
219,BRD-K76980120,CC(C)(CCN1CCOCC1)NC(=O)C=C
220,BRD-K96084341,Cc1ccccc1N1C=CC(=O)NC1=O
221,BRD-K66351637,O=S(=O)(Nn1cnnc1)c1ccccc1
222,BRD-K62166110,CCCCC1C(=O)NC(=S)NC1=O
223,BRD-K71131721,CN(C(=O)C)c1nc(n(n1)-c1ccccc1)N
224,BRD-K93710771,CC(=O)ON1C(C)(C)C=C(C(=O)N)C1(C)C
225,BRD-A95937779,CC(=O)N[C@H]1C(=O)Nc2ccc(cc21)F
226,BRD-K48525335,OCCN1C(=O)Nc2ccsc2C1=O
227,BRD-K81438049,Fc1ccc(cc1)N1N=C2NCCCN2C1=O
228,BRD-A80519968,CC[C@@H](NC1=NNC(=O)NC1=O)C(=O)OC
229,BRD-K84429810,CCOC(=O)CC1=NNC(=N)SC1
230,BRD-K45131196,CCC1=C(C)Nc2c(cnn2C1=O)C#N
231,BRD-K52739079,NC(=O)N1CCC(=O)Nc2ccccc21
232,BRD-K94842462,Cc1ccc(c(c1)Br)OCCN
233,BRD-K11674985,Nc1nonc1C(=O)NCc1ccco1
234,BRD-K24738724,Cc1ccc(cc1)C(N)(CC=C)CC=C
235,BRD-K74782322,CCOC1=Nc2c(ncn2C)C(=O)N1C
236,BRD-K07068626,O=C1NC=C(COCc2ccccc2)C(=O)N1
237,BRD-K08432080,CSC1=NN1c1cc(nc(n1)N)C
238,BRD-A56559575,O=C1NCCC[C@@H]1C(=O)N1CCCCC1
239,BRD-A92095922,NC[C@@H](N1CCOCC1)c1ccccc1
