Name,SMILES,hit
PHENYLMERCURIC ACETATE,CC(=O)O[Hg]c1ccccc1,1.0
BERBERINE CHLORIDE,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],1.0
GEMIFLOXACIN MESYLATE,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN.CS(=O)(=O)O,1.0
CANDESARTAN CILEXTIL,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1.0
SODIUM PHENYLBUTYRATE,O=C([O-])CCCc1ccccc1.[Na+],1.0
BRD-A13175897,COc1cc(c(cc1OC)C[N+]1(CCOCC[C@H]2CC[C@@H]3C[C@H]2C3(C)C)CCOCC1)Br,1.0
BRD-A09761158,CCCCC/C=C/CCC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1Oc1c2cc3cc1Oc1ccc(cc1Cl)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H]3NC(=O)[C@@H](Cc4ccc(c(c4)Cl)O2)NC(=O)[C@H](N)c2ccc(c(c2)Oc2cc(cc3c2)O)O)c2ccc(c(c2)-c2c(cc(cc2[C@H](NC1=O)C(=O)O)O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)O,1.0
BRD-K28380491,OC[C@@H](Cc1ccccc1)NC(=O)C[C@@H]1CC=CC[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)OC[C@@H](Cc2ccccc2)NC1=O,1.0
CETRIMONIUM BROMIDE,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1.0
FENOLDOPAM MESYLATE,CS(=O)(=O)O.Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,1.0
BRD-A29110318,CN([C@@H](c1ccc(cc1)F)c1ncccc1C)C(=O)C1CCN(CCOc2ccc(cc2Cl)Cl)CC1,1.0
BRD-K24191730,C[C@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)C(=O)c1ccncc1)-c1cccc(c1)C#N,1.0
