Value,Metric,Model
0.3020811627660781,auPR,AttentiveFP:Scaffold
0.7330942907374849,auROC,AttentiveFP:Scaffold
0.7283280197178597,auROC,AttentiveFP:Scaffold
0.732580033704305,auROC,AttentiveFP:Scaffold
0.7312694353547504,auROC,AttentiveFP:Scaffold
0.7261550454110832,auROC,AttentiveFP:Scaffold
0.7471935978644593,auROC,AttentiveFP:Scaffold
0.7455235243150484,auROC,AttentiveFP:Scaffold
0.7313225715094874,auROC,AttentiveFP:Scaffold
0.740553821737314,auROC,AttentiveFP:Scaffold
0.738224383185982,auROC,AttentiveFP:Scaffold
0.7097090550176512,auROC,AttentiveFP:Scaffold
0.7538702468377678,auROC,AttentiveFP:Scaffold
0.7258156189450721,auROC,AttentiveFP:Scaffold
0.724184100653056,auROC,AttentiveFP:Scaffold
0.7302336308397195,auROC,AttentiveFP:Scaffold
0.7137730595489455,auROC,AttentiveFP:Scaffold
0.7207591319879652,auROC,AttentiveFP:Scaffold
0.7278178285118232,auROC,AttentiveFP:Scaffold
0.7450005748238375,auROC,AttentiveFP:Scaffold
0.7312945313222912,auROC,AttentiveFP:Scaffold
-0.1,auPR,dummy3
-0.1,auROC,dummy3
0.5461496017056633,auPR,D-MPNN:Random
0.4561646063964667,auPR,D-MPNN:Random
0.5916453563955025,auPR,D-MPNN:Random
0.536264993043951,auPR,D-MPNN:Random
0.5823477234956492,auPR,D-MPNN:Random
0.5583642456176373,auPR,D-MPNN:Random
0.5846375542092322,auPR,D-MPNN:Random
0.5588973971119559,auPR,D-MPNN:Random
0.597681794505992,auPR,D-MPNN:Random
0.5935996880301153,auPR,D-MPNN:Random
0.4476190919096773,auPR,D-MPNN:Random
0.4529606974038943,auPR,D-MPNN:Random
0.5110712171129823,auPR,D-MPNN:Random
0.52822125551283,auPR,D-MPNN:Random
0.6016794276993929,auPR,D-MPNN:Random
0.5004051509726952,auPR,D-MPNN:Random
0.5182536886283413,auPR,D-MPNN:Random
0.5022243408847593,auPR,D-MPNN:Random
0.4656545165781616,auPR,D-MPNN:Random
0.4760684454929132,auPR,D-MPNN:Random
0.5898246553538219,auPR,D-MPNN:Random
0.4484246206913388,auPR,D-MPNN:Random
0.5213842337152738,auPR,D-MPNN:Random
0.5683282994341937,auPR,D-MPNN:Random
0.5073254801204362,auPR,D-MPNN:Random
0.4919148368523871,auPR,D-MPNN:Random
0.5423413113948021,auPR,D-MPNN:Random
0.5476625948231266,auPR,D-MPNN:Random
0.5206519936942625,auPR,D-MPNN:Random
0.5408267261502444,auPR,D-MPNN:Random
0.9029603792147394,auROC,D-MPNN:Random
0.8883560029289921,auROC,D-MPNN:Random
0.9209141401592889,auROC,D-MPNN:Random
0.918378386342445,auROC,D-MPNN:Random
0.9112271186440678,auROC,D-MPNN:Random
0.925821218391697,auROC,D-MPNN:Random
0.8997419143095836,auROC,D-MPNN:Random
0.9473622615873812,auROC,D-MPNN:Random
0.9363630575828958,auROC,D-MPNN:Random
0.9237648838491986,auROC,D-MPNN:Random
0.914262180511182,auROC,D-MPNN:Random
0.9229405041066188,auROC,D-MPNN:Random
0.9055965802831952,auROC,D-MPNN:Random
0.9215480118683974,auROC,D-MPNN:Random
0.9017378531073448,auROC,D-MPNN:Random
0.9077945868687785,auROC,D-MPNN:Random
0.9077498328877004,auROC,D-MPNN:Random
0.8636217413101603,auROC,D-MPNN:Random
0.8952616638765557,auROC,D-MPNN:Random
0.91064852461468,auROC,D-MPNN:Random
0.9147869674185464,auROC,D-MPNN:Random
0.9145553122719214,auROC,D-MPNN:Random
0.8800295015072421,auROC,D-MPNN:Random
0.9093094181236224,auROC,D-MPNN:Random
0.8994191728138201,auROC,D-MPNN:Random
0.8583323619691495,auROC,D-MPNN:Random
0.9143617142584656,auROC,D-MPNN:Random
0.9200915742002466,auROC,D-MPNN:Random
0.8947933826826561,auROC,D-MPNN:Random
0.8923954802259887,auROC,D-MPNN:Random
0.4129719944074531,auPR,D-MPNN:Scaffold
0.5023716500827063,auPR,D-MPNN:Scaffold
0.4828925753841442,auPR,D-MPNN:Scaffold
0.521629901874493,auPR,D-MPNN:Scaffold
0.4639669510248687,auPR,D-MPNN:Scaffold
0.4092211815484819,auPR,D-MPNN:Scaffold
0.3683140993353883,auPR,D-MPNN:Scaffold
0.5488177034312671,auPR,D-MPNN:Scaffold
0.3710726938312028,auPR,D-MPNN:Scaffold
0.4930874509327898,auPR,D-MPNN:Scaffold
0.4832388355346398,auPR,D-MPNN:Scaffold
0.3938055509782046,auPR,D-MPNN:Scaffold
0.4097098875846801,auPR,D-MPNN:Scaffold
0.4878090994884727,auPR,D-MPNN:Scaffold
0.2537208025670657,auPR,D-MPNN:Scaffold
0.6147542152146154,auPR,D-MPNN:Scaffold
0.47380746473,auPR,D-MPNN:Scaffold
0.3351659758041703,auPR,D-MPNN:Scaffold
0.44123610627806,auPR,D-MPNN:Scaffold
0.484313119034259,auPR,D-MPNN:Scaffold
0.5135333879961592,auPR,D-MPNN:Scaffold
0.5402353170454903,auPR,D-MPNN:Scaffold
0.3086990612620326,auPR,D-MPNN:Scaffold
0.5459724910471346,auPR,D-MPNN:Scaffold
0.3872000261371406,auPR,D-MPNN:Scaffold
0.4506535237108533,auPR,D-MPNN:Scaffold
0.3455935468372133,auPR,D-MPNN:Scaffold
0.3861091057240861,auPR,D-MPNN:Scaffold
0.4588840154300601,auPR,D-MPNN:Scaffold
0.4368353321961732,auPR,D-MPNN:Scaffold
0.8672429078014184,auROC,D-MPNN:Scaffold
0.9100210421789297,auROC,D-MPNN:Scaffold
0.92967006863319,auROC,D-MPNN:Scaffold
0.9128933061394592,auROC,D-MPNN:Scaffold
0.9031293498994688,auROC,D-MPNN:Scaffold
0.8971063060962815,auROC,D-MPNN:Scaffold
0.8237008728746513,auROC,D-MPNN:Scaffold
0.9271857560457082,auROC,D-MPNN:Scaffold
0.9400986610288936,auROC,D-MPNN:Scaffold
0.9372239872165212,auROC,D-MPNN:Scaffold
0.8710552268244577,auROC,D-MPNN:Scaffold
0.8315002432672218,auROC,D-MPNN:Scaffold
0.8703425730615388,auROC,D-MPNN:Scaffold
0.9128710976218308,auROC,D-MPNN:Scaffold
0.8337624243298029,auROC,D-MPNN:Scaffold
0.9085558736565448,auROC,D-MPNN:Scaffold
0.9067218808442424,auROC,D-MPNN:Scaffold
0.8532633469432471,auROC,D-MPNN:Scaffold
0.8909473684210527,auROC,D-MPNN:Scaffold
0.8512319856710227,auROC,D-MPNN:Scaffold
0.9243055555555556,auROC,D-MPNN:Scaffold
0.9495668189488414,auROC,D-MPNN:Scaffold
0.8623194631012255,auROC,D-MPNN:Scaffold
0.9146875608331712,auROC,D-MPNN:Scaffold
0.863933428049523,auROC,D-MPNN:Scaffold
0.8876039043847951,auROC,D-MPNN:Scaffold
0.8646368599867574,auROC,D-MPNN:Scaffold
0.906776156164988,auROC,D-MPNN:Scaffold
0.8926800452609158,auROC,D-MPNN:Scaffold
0.8797273566092211,auROC,D-MPNN:Scaffold
